datetime,open,high,low,close,volume
0,15.020,15.060,15.020,15.050,15000
1,15.050,15.060,15.040,15.060,7600
2,15.040,15.070,15.040,15.060,24800
3,15.060,15.100,15.060,15.090,12400
4,15.080,15.110,15.080,15.110,6100
5,15.100,15.140,15.100,15.110,38800
6,15.110,15.110,15.100,15.100,8400
7,15.100,15.100,15.090,15.090,21600
8,15.090,15.090,15.040,15.040,22400
9,15.040,15.060,15.030,15.050,30800
10,15.050,15.060,15.020,15.020,21600
11,15.010,15.010,14.950,14.980,43100
12,14.980,15.020,14.960,14.960,29100
13,14.960,14.970,14.950,14.950,8600
14,14.950,14.960,14.940,14.960,13900
15,14.960,14.960,14.930,14.950,26300
16,14.950,14.970,14.940,14.970,13700
17,14.970,14.970,14.950,14.970,26000
18,14.970,15.000,14.970,14.990,16400
19,14.990,14.990,14.970,14.970,16400
20,14.960,15.040,14.960,15.000,27000
21,15.000,15.010,15.000,15.010,9900
22,15.020,15.040,15.020,15.020,42700
23,15.010,15.070,15.010,15.050,46200
24,15.050,15.070,15.050,15.060,10700
25,15.060,15.090,15.050,15.060,36900
26,15.060,15.100,15.060,15.090,42600
27,15.090,15.110,15.080,15.100,30300
28,15.110,15.150,15.110,15.120,40500
29,15.110,15.120,15.090,15.120,47900
30,15.130,15.170,15.110,15.140,46300
31,15.140,15.140,15.110,15.130,26200
32,15.130,15.130,15.100,15.110,37300
33,15.110,15.200,15.110,15.200,62100
34,15.200,15.220,15.200,15.220,26000
35,15.220,15.280,15.220,15.250,32200
36,15.260,15.350,15.260,15.330,87800
37,15.300,15.330,15.250,15.260,44000
38,15.250,15.280,15.250,15.280,16600
39,15.270,15.270,15.200,15.230,71600
40,15.220,15.230,15.160,15.160,33700
41,15.160,15.200,15.150,15.170,67400
42,15.180,15.200,15.160,15.160,57000
43,15.170,15.200,15.160,15.170,33100
44,15.170,15.190,15.150,15.190,65000
45,15.200,15.240,15.190,15.230,103300
46,15.220,15.220,15.160,15.160,18800
47,15.160,15.170,15.150,15.170,15900
48,15.170,15.190,15.160,15.170,25600
49,15.170,15.180,15.150,15.160,20100
50,15.170,15.170,15.120,15.130,68600
51,15.140,15.140,15.130,15.130,11100
52,15.130,15.130,15.110,15.110,18200
53,15.120,15.130,15.110,15.110,29900
54,15.100,15.150,15.100,15.140,42800
55,15.130,15.160,15.130,15.150,32100
56,15.160,15.170,15.140,15.160,41000
57,15.150,15.160,15.140,15.150,7000
58,15.150,15.170,15.150,15.160,27900
59,15.170,15.170,15.140,15.150,51700
60,15.150,15.160,15.130,15.150,41000
61,15.150,15.180,15.130,15.170,93700
62,15.180,15.200,15.170,15.170,49100
63,15.170,15.200,15.170,15.180,71300
64,15.180,15.220,15.170,15.190,96200
65,15.200,15.210,15.180,15.180,93000
66,15.180,15.330,15.110,15.300,189500
67,15.200,15.200,15.200,15.200,63400
68,15.240,15.330,15.180,15.210,160300
69,15.200,15.200,15.080,15.120,68100
70,15.130,15.220,15.120,15.210,34900
71,15.210,15.260,15.200,15.260,44000
72,15.240,15.250,15.150,15.150,83500
73,15.140,15.160,15.100,15.140,40900
74,15.180,15.180,15.080,15.090,20700
75,15.090,15.130,15.090,15.110,28900
76,15.120,15.120,15.000,15.050,59500
77,15.040,15.070,15.000,15.050,78800
78,15.020,15.100,15.020,15.040,28100
79,15.040,15.110,15.040,15.100,65500
80,15.090,15.140,15.090,15.140,29500
81,15.140,15.140,15.060,15.060,35100
82,15.060,15.070,15.000,15.010,77500
83,15.000,15.040,15.000,15.020,15700
84,15.020,15.080,15.020,15.080,38000
85,15.080,15.080,15.000,15.020,48300
86,15.010,15.030,15.000,15.020,37700
87,15.030,15.060,15.010,15.010,12100
88,15.010,15.060,15.000,15.060,6500
89,15.060,15.070,15.010,15.040,16000
90,15.040,15.100,15.030,15.100,12000
91,15.090,15.100,15.030,15.060,9300
92,15.060,15.090,15.030,15.090,12500
93,15.060,15.080,15.050,15.080,12600
94,15.070,15.110,15.070,15.110,14200
95,15.130,15.140,15.090,15.110,13600
96,15.110,15.110,15.090,15.100,12600
97,15.100,15.110,15.080,15.100,11600
98,15.090,15.100,15.050,15.060,30300
99,15.040,15.070,15.040,15.070,11200
100,15.060,15.120,15.060,15.120,13000
101,15.100,15.110,15.050,15.060,13800
102,15.050,15.060,15.050,15.060,17100
103,15.060,15.080,15.040,15.060,26800
104,15.060,15.060,15.020,15.030,29000
105,15.020,15.030,14.950,14.950,67200
106,14.950,14.970,14.910,14.940,91100
107,14.940,14.940,14.800,14.850,229100
108,14.850,14.940,14.710,14.710,304600
109,14.710,14.820,14.710,14.810,67300
110,14.810,14.830,14.770,14.830,39900
111,14.840,14.870,14.820,14.850,12700
112,14.850,14.880,14.820,14.840,36800
113,14.820,14.830,14.810,14.810,10900
114,14.800,14.860,14.800,14.860,26100
115,14.870,14.870,14.830,14.840,20100
116,14.830,14.840,14.780,14.840,116100
117,14.840,14.900,14.820,14.830,27700
118,14.840,14.850,14.820,14.820,17700
119,14.830,14.840,14.820,14.830,21000
120,14.830,14.840,14.780,14.790,103200
121,14.790,14.800,14.760,14.790,46100
122,14.770,14.790,14.730,14.760,74900
123,14.740,14.810,14.740,14.810,94200
124,14.800,14.810,14.730,14.730,64400
125,14.730,14.740,14.650,14.680,116600
126,14.650,14.710,14.650,14.700,20100
127,14.690,14.750,14.690,14.750,24800
128,14.740,14.750,14.730,14.740,8000
129,14.730,14.740,14.700,14.710,20200
130,14.730,14.750,14.730,14.740,19900
131,14.730,14.750,14.720,14.720,14200
132,14.720,14.770,14.710,14.770,16800
133,14.770,14.800,14.770,14.800,7700
134,14.800,14.800,14.770,14.800,21600
135,14.800,14.810,14.790,14.810,5200
136,14.800,14.800,14.780,14.780,16600
137,14.780,14.790,14.770,14.790,4900
138,14.790,14.790,14.770,14.780,8200
139,14.770,14.780,14.750,14.750,19300
140,14.750,14.760,14.720,14.760,12900
141,14.760,14.760,14.740,14.740,3100
142,14.740,14.740,14.730,14.730,7100
143,14.740,14.740,14.740,14.740,3800
144,14.730,14.740,14.700,14.700,22300
145,14.700,14.700,14.690,14.700,8800
146,14.690,14.700,14.680,14.700,17000
147,14.700,14.720,14.690,14.710,13700
148,14.710,14.730,14.700,14.710,27600
149,14.710,14.730,14.700,14.730,14300
150,14.730,14.730,14.690,14.700,28900
151,14.690,14.700,14.690,14.700,40500
152,14.700,14.710,14.700,14.700,12500
153,14.700,14.740,14.700,14.730,220800
154,14.730,14.740,14.720,14.740,7700
155,14.740,14.740,14.710,14.710,10700
156,14.710,14.720,14.710,14.710,14100
157,14.700,14.720,14.700,14.710,17100
158,14.700,14.740,14.700,14.740,14680
