datetime,open,high,low,close,volume
2025-10-01 09:30:00,15.02,15.06,15.02,15.05,15000
2025-10-01 09:31:00,15.05,15.06,15.04,15.06,7600
2025-10-01 09:32:00,15.04,15.07,15.04,15.06,24800
2025-10-01 09:33:00,15.06,15.1,15.06,15.09,12400
2025-10-01 09:34:00,15.08,15.11,15.08,15.11,6100
2025-10-01 09:35:00,15.1,15.14,15.1,15.11,38800
2025-10-01 09:36:00,15.11,15.11,15.1,15.1,8400
2025-10-01 09:37:00,15.1,15.1,15.09,15.09,21600
2025-10-01 09:38:00,15.09,15.09,15.04,15.04,22400
2025-10-01 09:39:00,15.04,15.06,15.03,15.05,30800
2025-10-01 09:40:00,15.05,15.06,15.02,15.02,21600
2025-10-01 09:41:00,15.01,15.01,14.95,14.98,43100
2025-10-01 09:42:00,14.98,15.02,14.96,14.96,29100
2025-10-01 09:43:00,14.96,14.97,14.95,14.95,8600
2025-10-01 09:44:00,14.95,14.96,14.94,14.96,13900
2025-10-01 09:45:00,14.96,14.96,14.93,14.95,26300
2025-10-01 09:46:00,14.95,14.97,14.94,14.97,13700
2025-10-01 09:47:00,14.97,14.97,14.95,14.97,26000
2025-10-01 09:48:00,14.97,15.0,14.97,14.99,16400
2025-10-01 09:49:00,14.99,14.99,14.97,14.97,16400
2025-10-01 09:50:00,14.96,15.04,14.96,15.0,27000
2025-10-01 09:51:00,15.0,15.01,15.0,15.01,9900
2025-10-01 09:52:00,15.02,15.04,15.02,15.02,42700
2025-10-01 09:53:00,15.01,15.07,15.01,15.05,46200
2025-10-01 09:54:00,15.05,15.07,15.05,15.06,10700
2025-10-01 09:55:00,15.06,15.09,15.05,15.06,36900
2025-10-01 09:56:00,15.06,15.1,15.06,15.09,42600
2025-10-01 09:57:00,15.09,15.11,15.08,15.1,30300
2025-10-01 09:58:00,15.11,15.15,15.11,15.12,40500
2025-10-01 09:59:00,15.11,15.12,15.09,15.12,47900
2025-10-01 10:00:00,15.13,15.17,15.11,15.14,46300
2025-10-01 10:01:00,15.14,15.14,15.11,15.13,26200
2025-10-01 10:02:00,15.13,15.13,15.1,15.11,37300
2025-10-01 10:03:00,15.11,15.2,15.11,15.2,62100
2025-10-01 10:04:00,15.2,15.22,15.2,15.22,26000
2025-10-01 10:05:00,15.22,15.28,15.22,15.25,32200
2025-10-01 10:06:00,15.26,15.35,15.26,15.33,87800
2025-10-01 10:07:00,15.3,15.33,15.25,15.26,44000
2025-10-01 10:08:00,15.25,15.28,15.25,15.28,16600
2025-10-01 10:09:00,15.27,15.27,15.2,15.23,71600
2025-10-01 10:10:00,15.22,15.23,15.16,15.16,33700
2025-10-01 10:11:00,15.16,15.2,15.15,15.17,67400
2025-10-01 10:12:00,15.18,15.2,15.16,15.16,57000
2025-10-01 10:13:00,15.17,15.2,15.16,15.17,33100
2025-10-01 10:14:00,15.17,15.19,15.15,15.19,65000
2025-10-01 10:15:00,15.2,15.24,15.19,15.23,103300
2025-10-01 10:16:00,15.22,15.22,15.16,15.16,18800
2025-10-01 10:17:00,15.16,15.17,15.15,15.17,15900
2025-10-01 10:18:00,15.17,15.19,15.16,15.17,25600
2025-10-01 10:19:00,15.17,15.18,15.15,15.16,20100
2025-10-01 10:20:00,15.17,15.17,15.12,15.13,68600
2025-10-01 10:21:00,15.14,15.14,15.13,15.13,11100
2025-10-01 10:22:00,15.13,15.13,15.11,15.11,18200
2025-10-01 10:23:00,15.12,15.13,15.11,15.11,29900
2025-10-01 10:24:00,15.1,15.15,15.1,15.14,42800
2025-10-01 10:25:00,15.13,15.16,15.13,15.15,32100
2025-10-01 10:26:00,15.16,15.17,15.14,15.16,41000
2025-10-01 10:27:00,15.15,15.16,15.14,15.15,7000
2025-10-01 10:28:00,15.15,15.17,15.15,15.16,27900
2025-10-01 10:29:00,15.17,15.17,15.14,15.15,51700
2025-10-01 10:30:00,15.15,15.16,15.13,15.15,41000
2025-10-01 10:31:00,15.15,15.18,15.13,15.17,93700
2025-10-01 10:32:00,15.18,15.2,15.17,15.17,49100
2025-10-01 10:33:00,15.17,15.2,15.17,15.18,71300
2025-10-01 10:34:00,15.18,15.22,15.17,15.19,96200
2025-10-01 10:35:00,15.2,15.21,15.18,15.18,93000
2025-10-01 10:36:00,15.18,15.33,15.11,15.3,189500
2025-10-01 10:37:00,15.2,15.2,15.2,15.2,63400
2025-10-01 10:38:00,15.24,15.33,15.18,15.21,160300
2025-10-01 10:39:00,15.2,15.2,15.08,15.12,68100
2025-10-01 10:40:00,15.13,15.22,15.12,15.21,34900
2025-10-01 10:41:00,15.21,15.26,15.2,15.26,44000
2025-10-01 10:42:00,15.24,15.25,15.15,15.15,83500
2025-10-01 10:43:00,15.14,15.16,15.1,15.14,40900
2025-10-01 10:44:00,15.18,15.18,15.08,15.09,20700
2025-10-01 10:45:00,15.09,15.13,15.09,15.11,28900
2025-10-01 10:46:00,15.12,15.12,15.0,15.05,59500
2025-10-01 10:47:00,15.04,15.07,15.0,15.05,78800
2025-10-01 10:48:00,15.02,15.1,15.02,15.04,28100
2025-10-01 10:49:00,15.04,15.11,15.04,15.1,65500
2025-10-01 10:50:00,15.09,15.14,15.09,15.14,29500
2025-10-01 10:51:00,15.14,15.14,15.06,15.06,35100
2025-10-01 10:52:00,15.06,15.07,15.0,15.01,77500
2025-10-01 10:53:00,15.0,15.04,15.0,15.02,15700
2025-10-01 10:54:00,15.02,15.08,15.02,15.08,38000
2025-10-01 10:55:00,15.08,15.08,15.0,15.02,48300
2025-10-01 10:56:00,15.01,15.03,15.0,15.02,37700
2025-10-01 10:57:00,15.03,15.06,15.01,15.01,12100
2025-10-01 10:58:00,15.01,15.06,15.0,15.06,6500
2025-10-01 10:59:00,15.06,15.07,15.01,15.04,16000
2025-10-01 11:00:00,15.04,15.1,15.03,15.1,12000
2025-10-01 11:01:00,15.09,15.1,15.03,15.06,9300
2025-10-01 11:02:00,15.06,15.09,15.03,15.09,12500
2025-10-01 11:03:00,15.06,15.08,15.05,15.08,12600
2025-10-01 11:04:00,15.07,15.11,15.07,15.11,14200
2025-10-01 11:05:00,15.13,15.14,15.09,15.11,13600
2025-10-01 11:06:00,15.11,15.11,15.09,15.1,12600
2025-10-01 11:07:00,15.1,15.11,15.08,15.1,11600
2025-10-01 11:08:00,15.09,15.1,15.05,15.06,30300
2025-10-01 11:09:00,15.04,15.07,15.04,15.07,11200
2025-10-01 11:10:00,15.06,15.12,15.06,15.12,13000
2025-10-01 11:11:00,15.1,15.11,15.05,15.06,13800
2025-10-01 11:12:00,15.05,15.06,15.05,15.06,17100
2025-10-01 11:13:00,15.06,15.08,15.04,15.06,26800
2025-10-01 11:14:00,15.06,15.06,15.02,15.03,29000
2025-10-01 11:15:00,15.02,15.03,14.95,14.95,67200
2025-10-01 11:16:00,14.95,14.97,14.91,14.94,91100
2025-10-01 11:17:00,14.94,14.94,14.8,14.85,229100
2025-10-01 11:18:00,14.85,14.94,14.71,14.71,304600
2025-10-01 11:19:00,14.71,14.82,14.71,14.81,67300
2025-10-01 11:20:00,14.81,14.83,14.77,14.83,39900
2025-10-01 11:21:00,14.84,14.87,14.82,14.85,12700
2025-10-01 11:22:00,14.85,14.88,14.82,14.84,36800
2025-10-01 11:23:00,14.82,14.83,14.81,14.81,10900
2025-10-01 11:24:00,14.8,14.86,14.8,14.86,26100
2025-10-01 11:25:00,14.87,14.87,14.83,14.84,20100
2025-10-01 11:26:00,14.83,14.84,14.78,14.84,116100
2025-10-01 11:27:00,14.84,14.9,14.82,14.83,27700
2025-10-01 11:28:00,14.84,14.85,14.82,14.82,17700
2025-10-01 11:29:00,14.83,14.84,14.82,14.83,21000
2025-10-01 11:30:00,14.83,14.84,14.78,14.79,103200
2025-10-01 13:00:00,14.79,14.8,14.76,14.79,46100
2025-10-01 13:01:00,14.77,14.79,14.73,14.76,74900
2025-10-01 13:02:00,14.74,14.81,14.74,14.81,94200
2025-10-01 13:03:00,14.8,14.81,14.73,14.73,64400
2025-10-01 13:04:00,14.73,14.74,14.65,14.68,116600
2025-10-01 13:05:00,14.65,14.71,14.65,14.7,20100
2025-10-01 13:06:00,14.69,14.75,14.69,14.75,24800
2025-10-01 13:07:00,14.74,14.75,14.73,14.74,8000
2025-10-01 13:08:00,14.73,14.74,14.7,14.71,20200
2025-10-01 13:09:00,14.73,14.75,14.73,14.74,19900
2025-10-01 13:10:00,14.73,14.75,14.72,14.72,14200
2025-10-01 13:11:00,14.72,14.77,14.71,14.77,16800
2025-10-01 13:12:00,14.77,14.8,14.77,14.8,7700
2025-10-01 13:13:00,14.8,14.8,14.77,14.8,21600
2025-10-01 13:14:00,14.8,14.81,14.79,14.81,5200
2025-10-01 13:15:00,14.8,14.8,14.78,14.78,16600
2025-10-01 13:16:00,14.78,14.79,14.77,14.79,4900
2025-10-01 13:17:00,14.79,14.79,14.77,14.78,8200
2025-10-01 13:18:00,14.77,14.78,14.75,14.75,19300
2025-10-01 13:19:00,14.75,14.76,14.72,14.76,12900
2025-10-01 13:20:00,14.76,14.76,14.74,14.74,3100
2025-10-01 13:21:00,14.74,14.74,14.73,14.73,7100
2025-10-01 13:22:00,14.74,14.74,14.74,14.74,3800
2025-10-01 13:23:00,14.73,14.74,14.7,14.7,22300
2025-10-01 13:24:00,14.7,14.7,14.69,14.7,8800
2025-10-01 13:25:00,14.69,14.7,14.68,14.7,17000
2025-10-01 13:26:00,14.7,14.72,14.69,14.71,13700
2025-10-01 13:27:00,14.71,14.73,14.7,14.71,27600
2025-10-01 13:28:00,14.71,14.73,14.7,14.73,14300
2025-10-01 13:29:00,14.73,14.73,14.69,14.7,28900
2025-10-01 13:30:00,14.69,14.7,14.69,14.7,40500
2025-10-01 13:31:00,14.7,14.71,14.7,14.7,12500
2025-10-01 13:32:00,14.7,14.74,14.7,14.73,220800
2025-10-01 13:33:00,14.73,14.74,14.72,14.74,7700
2025-10-01 13:34:00,14.74,14.74,14.71,14.71,10700
2025-10-01 13:35:00,14.71,14.72,14.71,14.71,14100
2025-10-01 13:36:00,14.7,14.72,14.7,14.71,17100
2025-10-01 13:37:00,14.7,14.74,14.7,14.74,14680
2025-10-01 13:38:00,14.74,14.77,14.73,14.75,8600
2025-10-01 13:39:00,14.74,14.77,14.74,14.77,9700
2025-10-01 13:40:00,14.77,14.77,14.75,14.76,5700
2025-10-01 13:41:00,14.75,14.8,14.75,14.8,55100
2025-10-01 13:42:00,14.8,14.81,14.77,14.8,72400
2025-10-01 13:43:00,14.78,14.81,14.78,14.81,7400
2025-10-01 13:44:00,14.81,14.82,14.81,14.82,3200
2025-10-01 13:45:00,14.82,14.83,14.8,14.8,9000
2025-10-01 13:46:00,14.79,14.8,14.79,14.8,4900
2025-10-01 13:47:00,14.81,14.81,14.79,14.79,6700
2025-10-01 13:48:00,14.79,14.79,14.77,14.77,18600
2025-10-01 13:49:00,14.79,14.79,14.75,14.75,12100
2025-10-01 13:50:00,14.76,14.77,14.75,14.77,11700
2025-10-01 13:51:00,14.77,14.8,14.77,14.77,9700
2025-10-01 13:52:00,14.78,14.8,14.78,14.79,8800
2025-10-01 13:53:00,14.8,14.83,14.8,14.8,15700
2025-10-01 13:54:00,14.81,14.9,14.81,14.82,54400
2025-10-01 13:55:00,14.81,14.84,14.8,14.8,38200
2025-10-01 13:56:00,14.8,14.82,14.79,14.79,8700
2025-10-01 13:57:00,14.79,14.79,14.78,14.78,900
2025-10-01 13:58:00,14.79,14.79,14.75,14.75,25000
2025-10-01 13:59:00,14.78,14.8,14.78,14.8,2800
2025-10-01 14:00:00,14.79,14.83,14.76,14.77,5100
